sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,45,,良好,3,0.22,40.6,18.5,31,18,13.9,17.2,3.2,1.2,49,"2022/06/23 11:00:00",0.2,13,24,1,121.760056,25.129167,1
汐止,新北市,45,,良好,1.1,0.35,64.2,18.7,24,12,15.3,18.2,2.9,1.4,331,"2022/06/23 11:00:00",0.3,13,28,2,121.6423,25.067131,2
萬里,新北市,37,,良好,1,0.21,55.5,23.3,24,13,6.3,7.8,1.5,3.5,32,"2022/06/23 11:00:00",0.2,11,22,1,121.689881,25.179667,3
新店,新北市,41,,良好,0.3,0.25,59.6,22.9,22,11,7.4,9.3,1.8,1.2,300,"2022/06/23 11:00:00",0.2,12,25,0,121.537778,24.977222,4
土城,新北市,37,,良好,1.9,0.21,60.2,19.7,24,9,11.3,13.4,2,1.7,298,"2022/06/23 11:00:00",0.3,11,29,1,121.451861,24.982528,5
板橋,新北市,43,,良好,,,,14.5,19,,,,,2.8,254,"2022/06/23 11:00:00",0.3,13,20,1,121.458667,25.012972,6
新莊,新北市,48,,良好,2.1,0.14,55.8,20.9,33,13,6.2,7.5,1.2,2.6,250,"2022/06/23 11:00:00",0.2,14,27,2,121.4325,25.037972,7
菜寮,新北市,47,,良好,1.4,0.26,55.7,23,25,14,11,12,1,1.9,219,"2022/06/23 11:00:00",0.3,14,25,1,121.481028,25.06895,8
林口,新北市,40,,良好,1.9,0.23,58.5,22.2,22,13,10.6,12.5,1.9,3.4,261,"2022/06/23 11:00:00",0.2,12,21,1,121.376869,25.077197,9
淡水,新北市,53,細懸浮微粒,普通,1.1,0.2,46.6,21.7,22,17,5.6,7.1,1.4,3.9,310,"2022/06/23 11:00:00",0.2,16,25,0,121.449239,25.1645,10
士林,臺北市,37,,良好,1.4,0.28,58.7,23.1,32,11,15.6,18,2.4,1,319,"2022/06/23 11:00:00",0.2,11,25,1,121.515389,25.105417,11
中山,臺北市,46,,良好,0.8,0.37,56.7,21.3,30,15,13.9,17,3.1,2.3,191,"2022/06/23 11:00:00",0.4,14,28,1,121.526528,25.062361,12
萬華,臺北市,37,,良好,,,,14.4,,12,,,,1.9,259,"2022/06/23 11:00:00",0.2,11,21,1,121.507972,25.046503,13
古亭,臺北市,46,,良好,0.7,0.31,66.3,21,25,17,12.1,14.1,2,1.7,254,"2022/06/23 11:00:00",0.2,14,25,1,121.529556,25.020608,14
松山,臺北市,46,,良好,0.7,0.28,58.7,20.8,21,13,12,15.4,3.3,1.6,175,"2022/06/23 11:00:00",0.2,14,24,1,121.578611,25.05,15
大同,臺北市,60,二氧化氮,普通,1.3,1.52,24.6,11.5,35,19,44.2,80.1,35.9,-,-,"2022/06/23 11:00:00",1.3,18,33,1,121.513311,25.0632,16
桃園,桃園市,38,,良好,0.6,0.23,58.4,20.4,13,12,7.8,9.5,1.6,2.3,293,"2022/06/23 11:00:00",0.2,11,19,1,121.30872222,24.98677778,17
大園,桃園市,44,,良好,2.2,0.24,52.5,20.5,28,17,7,8.8,1.7,4,318,"2022/06/23 11:00:00",0.2,13,23,1,121.201811,25.060344,18
觀音,桃園市,39,,良好,,,45.7,19.4,29,,,,,5.7,247,"2022/06/23 11:00:00",0.1,12,21,0,121.082761,25.035503,19
平鎮,桃園市,30,,良好,1.7,0.25,60.5,22,29,15,10.3,11.9,1.6,2.3,268,"2022/06/23 11:00:00",0.3,9,20,1,121.203986,24.952786,20
龍潭,桃園市,17,,良好,0.8,0.22,52,18.8,17,8,6.2,8.4,2.2,2.6,253,"2022/06/23 11:00:00",0.1,4,15,0,121.21635,24.863869,21
湖口,新竹縣,44,,良好,2.2,0.23,52.7,20.8,28,18,6.1,7.7,1.6,3.8,259,"2022/06/23 11:00:00",0.1,13,22,1,121.038653,24.900142,22
竹東,新竹縣,24,,良好,,0.15,,15.6,17,,3.1,4,0.8,2.6,236,"2022/06/23 11:00:00",0.1,7,20,0,121.088903,24.740644,23
新竹,新竹市,35,,良好,2.1,0.31,46.4,20.8,,,12.1,14.6,2.4,3.4,247,"2022/06/23 11:00:00",0.2,10,22,0,120.972075,24.805619,24
頭份,苗栗縣,30,,良好,3.3,0.26,50.2,21.4,31,14,6.1,8.6,2.4,4.3,271,"2022/06/23 11:00:00",0.2,9,22,2,120.898572,24.696969,25
苗栗,苗栗縣,,,,,,,,,,,,,1.9,218,"2022/06/23 11:00:00",,,,,120.8202,24.565269,26
三義,苗栗縣,27,,良好,1.6,0.2,43.8,25,21,7,4.9,6.6,1.6,3.5,191,"2022/06/23 11:00:00",0.1,8,16,1,120.758833,24.382942,27
豐原,臺中市,34,,良好,1.1,0.18,36.1,19.5,17,5,4.9,7,2.1,3,194,"2022/06/23 11:00:00",0.1,10,21,1,120.741711,24.256586,28
沙鹿,臺中市,20,,良好,1.7,0.16,38.1,19.8,27,3,4.7,5.9,1.2,2.4,263,"2022/06/23 11:00:00",0.1,6,20,1,120.568794,24.225628,29
大里,臺中市,27,,良好,1.4,0.15,34.4,14.5,16,5,4.2,5.8,1.6,2.6,261,"2022/06/23 11:00:00",0.1,8,21,1,120.67844444,24.09961111,30
忠明,臺中市,32,,良好,1.3,0.17,39.5,18,13,7,8.9,9.7,0.8,2.1,209,"2022/06/23 11:00:00",0.2,9,18,0,120.641092,24.151958,31
西屯,臺中市,26,,良好,1.4,0.13,40.2,16.2,22,6,4.6,6.2,1.6,2.9,192,"2022/06/23 11:00:00",0.1,7,21,0,120.616917,24.162197,32
彰化,彰化縣,30,,良好,1.6,0.14,31.3,19,24,8,8,18.7,10.7,2.6,193,"2022/06/23 11:00:00",0.1,9,22,1,120.541519,24.066,33
線西,彰化縣,41,,良好,1.9,0.11,33.7,14.9,22,10,3.2,4.6,1.4,3.1,245,"2022/06/23 11:00:00",0.1,12,25,1,120.469061,24.131672,34
二林,彰化縣,38,,良好,0.4,0.11,30.4,13.7,24,7,2.4,2.6,0.1,2,259,"2022/06/23 11:00:00",0.1,11,30,0,120.409653,23.925175,35
南投,南投縣,20,,良好,0.9,0.15,36,13.4,14,2,3.1,4.4,1.3,1.1,241,"2022/06/23 11:00:00",0.1,6,18,0,120.685306,23.913,36
斗六,雲林縣,22,,良好,1.9,0.18,32.2,17.6,12,5,4,5.9,1.8,2,225,"2022/06/23 11:00:00",0.1,6,15,1,120.544994,23.711853,37
崙背,雲林縣,24,,良好,1.6,0.09,27,10.9,14,0,2.2,2.8,0.6,1.4,224,"2022/06/23 11:00:00",0.1,6,24,1,120.348742,23.757547,38
新港,嘉義縣,26,,良好,2.2,0.11,33.9,17.3,13,8,2.5,4.5,1.9,1.8,250,"2022/06/23 11:00:00",0.1,8,17,1,120.345531,23.554839,39
朴子,嘉義縣,21,,良好,2.5,0.15,33.2,16.9,13,3,4.4,5.9,1.5,2.5,278,"2022/06/23 11:00:00",0.1,4,21,2,120.24781111,23.46712222,40
臺西,雲林縣,21,,良好,1.2,0.08,26.6,13.4,13,1,1.4,2.1,0.6,3.2,276,"2022/06/23 11:00:00",0.1,6,19,1,120.19933333,23.702175,41
嘉義,嘉義市,16,,良好,2,0.12,31,14.8,13,0,1.6,2.7,1,0.8,128,"2022/06/23 11:00:00",0.1,3,16,1,120.44083333,23.462778,42
新營,臺南市,20,,良好,1.8,0.2,42.7,19,20,9,6.9,8.6,1.7,1.3,296,"2022/06/23 11:00:00",0.1,6,19,0,120.31725,23.305633,43
善化,臺南市,28,,良好,2,0.19,46.9,15.6,16,10,7.2,8.9,1.7,0.3,305,"2022/06/23 11:00:00",0.1,8,12,0,120.297142,23.115097,44
安南,臺南市,19,,良好,2.1,0.14,19.8,10.5,12,0,3.5,5.7,2.2,4.2,296,"2022/06/23 11:00:00",0.1,5,15,1,120.2175,23.048197,45
臺南,臺南市,20,,良好,1.3,0.1,19.7,11.2,26,3,6,11.2,5.2,2.3,226,"2022/06/23 11:00:00",0.1,5,20,1,120.202617,22.984581,46
美濃,高雄市,12,,良好,0.6,0.09,20.8,12.5,5,3,1.5,2.2,0.7,2.1,234,"2022/06/23 11:00:00",0.1,3,12,0,120.530542,22.883583,47
橋頭,高雄市,29,,良好,3,0.2,31.9,11,26,5,8.9,12.5,3.6,4.7,247,"2022/06/23 11:00:00",0.2,9,23,1,120.305689,22.757506,48
